city,xco2_ppm,sif_757nm,Country,TargetRegion,Population,GDP [billion USD],"Annual CO2 Emissions, OCO-3 [MtCO2 year-1]","Annual CO2 Emissions, OCO-3, 1-sig uncertainty [MtCO2 year-1]",quadrant
Abidjan,,0.32261077,,,,,,,LOW_both
Accra,,0.23198673,,,,,,,LOW_both
Ad Damman,416.49026,0.030145722,,,,,,,LOW_both
Addis Ababa,,0.124186285,,,,,,,LOW_both
Adelaide,413.49338,0.12002318,,,,,,,LOW_both
Agra,,0.17174925,,,,,,,LOW_both
Ahmedabad,417.202,0.21812616,,,,,,,LOW_both
Ahvaz,414.81552,0.096849285,,,,,,,LOW_both
Al Hudaydah,416.91895,0.039854623,,,,,,,LOW_both
Alexandria,415.17975,0.016385447,,,,,,,LOW_both
Algiers,,0.023865554,,,,,,,LOW_both
Aligarh,413.16956,0.1899932,,,,,,,LOW_both
Allahabad,415.43634,0.21828264,,,,,,,LOW_both
Almaty,415.85416,0.1570763,,,,,,,LOW_both
Hangzhou,417.93057,0.20365706,China,Central East Asia,10466656,422.9,67.572,33.228,HIGH_both
Amritsar,416.58472,0.28982756,,,,,,,LOW_both
Amsterdam,417.43326,0.46076533,,,,,,,LOW_emissions_HIGH_conc
Ankara,415.55164,0.14132117,,,,,,,LOW_both
Anshun,417.62717,0.2214296,,,,,,,LOW_emissions_HIGH_conc
Antananarivo,411.75037,0.2635722,,,,,,,LOW_both
Antwerpen,416.30502,0.32646593,,,,,,,LOW_both
Arequipa,414.33945,0.035422508,,,,,,,LOW_both
Asuncion,413.90857,0.23563801,,,,,,,LOW_both
Los Angeles,418.33554,0.11244353,USA,North America,6340910,604.2,45.97,8.884,HIGH_both
Atlanta,416.69495,0.28923696,,,,,,,LOW_both
Auckland,413.19626,0.3425899,,,,,,,LOW_both
Austin,417.83597,0.2475507,,,,,,,LOW_emissions_HIGH_conc
Baghdad,416.41287,0.1097365,,,,,,,LOW_both
Baltimore,416.0342,0.32888693,,,,,,,LOW_both
Bandar Lampung,413.00403,0.36107102,,,,,,,LOW_both
Banghazi,407.49628,0.017572647,,,,,,,LOW_both
Bangkok,419.6194,0.2040612,,,,,,,LOW_emissions_HIGH_conc
Baotou,417.84283,0.1056463,,,,,,,LOW_emissions_HIGH_conc
Seoul,420.27673,0.2130031,South Korea,East. Southeast Asia & Oceania,11659102,557.7,79.024,23.542,HIGH_both
Beijing,418.71823,0.18433084,,,,,,,LOW_emissions_HIGH_conc
Beirut,414.5592,0.14325824,,,,,,,LOW_both
Bengaluru,416.59677,0.19162032,,,,,,,LOW_both
Bengbu,417.39642,0.19391736,,,,,,,LOW_both
Benoni,415.37708,0.1331012,,,,,,,LOW_both
Benxi,415.89264,0.2702477,,,,,,,LOW_both
Berlin,413.93918,0.22751912,,,,,,,LOW_both
Bhiwandi,417.4942,0.14127472,,,,,,,LOW_emissions_HIGH_conc
Birmingham,416.35974,0.39602366,,,,,,,LOW_both
